Name,Ratings,Review,Cost(â‚¹)
charlegoedke-0,5 out of 5 stars,"Brand new S9, fast ship and great phone",28512.36
cltooley,3 out of 5 stars,good phone i give it 3.5 stars,28512.36
shoptrender,5 out of 5 stars,Awesome Phone,28512.36
gyro_laser,4 out of 5 stars,Great Phone,28512.36
texaspatschick1,1 out of 5 stars,Easy to use,28512.36
telfordr,4 out of 5 stars,Beautiful phone ALMOST perfect,28512.36
jee-7919,4 out of 5 stars,Great phone!,28512.36
xwordnut,5 out of 5 stars,Great Smart Phone.,28512.36
erickvasquez23,5 out of 5 stars,Very happy customer. Bought 2 of these. Awesome phone.,28512.36
cprostko2013,5 out of 5 stars,"Small size ,fast working,",28512.36
landrew66,4 out of 5 stars,great phone except for bixby,28512.36
thao2k,5 out of 5 stars,Great phone!!!,28512.36
dreckma,5 out of 5 stars,"Arrived on time, and started using right away!!",28512.36
mmbedman,5 out of 5 stars,Over and above expectations,28512.36
lechumbl,5 out of 5 stars,Best Samsung yet!!,28512.36
jack2612,5 out of 5 stars,Samsung S9 Review,28512.36
jolguin00,5 out of 5 stars,Happy few weeks,28512.36
trcase_001,3 out of 5 stars,"Good phone, greatr price",28512.36
pmyrick28,5 out of 5 stars,Awesome!,28512.36
maxthado0,5 out of 5 stars,Good quality galaxy S9pluse awesome!!,28512.36
hexsae,5 out of 5 stars,Absolutely great purchase,28512.36
rich_416,5 out of 5 stars,Solid phone at great price,28512.36
nachitos1120247,5 out of 5 stars,Samsung s9,28512.36
elst85,5 out of 5 stars,Best phone I ever had,28512.36
lucero427,5 out of 5 stars,Good phone for the price,28512.36
midget117,5 out of 5 stars,Great features and easy to use.,28512.36
dinrosa_u66u7ui,5 out of 5 stars,"Goods""",28512.36
batvette,4 out of 5 stars,Great but that bixby thing,28512.36
kutykt.flo5feepp,4 out of 5 stars,"Great price, but didn't come with original package",28512.36
stepmcdu,5 out of 5 stars,Great phone,28512.36
mdsmith44,5 out of 5 stars,great phone/ computer  it's more than a Smart phone  so many things to learn with it. ,28512.36
zednelem2010,5 out of 5 stars,awesome it was brand new.,28512.36
srgio_5621,5 out of 5 stars,Great phone at a great price.,28512.36
sgcarmea,4 out of 5 stars,Ease of unlocking nowadays ,28512.36
hudhu1350,5 out of 5 stars,Great phone,28512.36
schul.karen,5 out of 5 stars,Awesome phone,28512.36
cazadorleon,4 out of 5 stars,Excellent value.,28512.36
farshahaddad_0,4 out of 5 stars,nice phone,28512.36
imjm4473_nyuqaowh,5 out of 5 stars,Great phone!,28512.36
rlhiattjr74,4 out of 5 stars,Great value for a very nice phone,28512.36
loubarri_0,5 out of 5 stars,"Sharp, elegant phone",28512.36
socalbaragins,3 out of 5 stars,great condition as new but mine was tmobile locked,28512.36
hurstgolf,5 out of 5 stars,It Blow Me Away,28512.36
zman23,5 out of 5 stars,Galaxy S9 a true value,28512.36
singerboimario,5 out of 5 stars,Amazing phone,28512.36
vickdaughtr-0,5 out of 5 stars,It was bought as a gift for my husbands birthday and he loves it.,28512.36
rodsbi0,5 out of 5 stars,Best phon ever,28512.36
dave.longcabin,5 out of 5 stars,Great Buy,28512.36
squiresvs,4 out of 5 stars,Samsung S9,28512.36
dragonfly_1109,5 out of 5 stars,Awesome phone!,28512.36
nathan542010,5 out of 5 stars,Great cell phone,28512.36
polyhome55,5 out of 5 stars,Complete smartphone,28512.36
onlineshpr1,5 out of 5 stars,Phone Review,28512.36
pockets12345,5 out of 5 stars,"Love my Samsung, No Apple phones again!",28512.36
chaddydaddy99,3 out of 5 stars,Whatever...whatever..whatever,28512.36
sewa-jame,5 out of 5 stars,Great phone,28512.36
33nymets.mc-5,5 out of 5 stars,Excellent accurate and courteous,28512.36
nicbryan-0,5 out of 5 stars,Samsung Galaxy s9,28512.36
balcalealex,5 out of 5 stars,my husband absolutel,28512.36
gis.gwi.glok07kr,4 out of 5 stars,Good Buy,28512.36
doandri-41,4 out of 5 stars,I like it a lot,28512.36
myneas8,5 out of 5 stars,Awesome,28512.36
dal1843,5 out of 5 stars,Nice phone.  No complaints so far.,28512.36
artvieira_0,5 out of 5 stars,As described in the post,28512.36
enzo82210,5 out of 5 stars,lightweight with great features,28512.36
mccarolr,5 out of 5 stars,Great product at a great price.,28512.36
nchll_08,5 out of 5 stars,Good Phone,28512.36
romcosnou,5 out of 5 stars,Unlocked Samsung Galaxy S9 SM-G960U1 G960U 64GB GSM CDMA Smartphone,28512.36
sparkie403,5 out of 5 stars,It's An S9,28512.36
kumarsr,5 out of 5 stars,Awesome device at awesome price.,28512.36
cmatta572012,5 out of 5 stars,Very good for work,28512.36
tavio.l,5 out of 5 stars,Galaxy s9,28512.36
hangri_4570,5 out of 5 stars,Better than ezpected,28512.36
d_whatley,5 out of 5 stars,Galaxy S9 - Great phone,28512.36
koolie_9,5 out of 5 stars,Great device,28512.36
buelly62-7,5 out of 5 stars,happy,28512.36
cesagardun2,5 out of 5 stars,Very good phone,28512.36
jen400715,5 out of 5 stars,Great phone,28512.36
jocor-6650,5 out of 5 stars,Awesome value,28512.36
zagarf0,5 out of 5 stars,Awesome! Couldn't be happier with my new phone!,28512.36
conlin30,5 out of 5 stars,Very good quality for the price,28512.36
stepgam-96,5 out of 5 stars,Good,28512.36
012691,5 out of 5 stars,Great item,28512.36
gvi0810,5 out of 5 stars,Returning  customer,28512.36
gennyjimene0,5 out of 5 stars,Excellente,28512.36
shaggy609,5 out of 5 stars,Love it,28512.36
rakanaseelrashed,5 out of 5 stars,Good working phone,28512.36
mavond-0,5 out of 5 stars,S9,28512.36
eleazarjose,5 out of 5 stars,Very good product.,28512.36
packo123,5 out of 5 stars,As expected.,28512.36
dadasis,5 out of 5 stars,Samsung S9,28512.36
massandclass,5 out of 5 stars,Simply the best.,28512.36
amikaxyz,5 out of 5 stars,The best,28512.36
jlm8641,5 out of 5 stars,Galaxy S9,28512.36
diaz-che,5 out of 5 stars,S9,28512.36
shawnboyleato,5 out of 5 stars,Love it!,28512.36
vladokurtev,5 out of 5 stars,As expected,28512.36
devillesls360,5 out of 5 stars,would recommend,28512.36
fgacia,5 out of 5 stars,Good phone,28512.36
truckowner77,5 out of 5 stars,Solid Phone,28512.36
